#Endpoint, "Subjects with geo:lat and geo:long with a total count of 251,793,018"
http://sparql.datao.net/sparql,65193702
http://de.dbpedia.org/sparql,38399976
https://geosparql.demo.openlinksw.com/sparql,38113180
http://linkedgeodata.org/sparql,37303327
http://www.linklion.org:8890/sparql,20028597
http://www.lotico.com:3030/lotico/sparql,11770923
http://nl.dbpedia.org/sparql,8182244
http://bbc.openlinksw.com/sparql,4762978
http://lod.openlinksw.com/sparql,4762978
http://live.dbpedia.org/sparql/,4148116
http://dbpedia-live.openlinksw.com/sparql,4148113
http://data.ordnancesurvey.co.uk/datasets/os-linked-data/apis/sparql,2952212
http://www.imagesnippets.com/sparql/images,2665682
http://vocab.getty.edu/sparql,2487798
http://rdf.muninn-project.org/sparql,2288884
http://sparql.europeana.eu/,1494025
http://dbpedia.org/sparql,1066106
http://host.geolink.org/sparql,427688
https://opendata.aragon.es/sparql,357716
http://fr.dbpedia.org/sparql,226825
http://pt.dbpedia.org/sparql,157023
http://sparql.odw.tw,115225
https://data.bnf.fr/sparql,109756
http://linked.opendata.cz/sparql,71209
https://linked.opendata.cz/sparql,71209
http://serendipity.utpl.edu.ec/lod/sparql,61988
http://data.logainm.ie/sparql/,55266
http://apps.morelab.deusto.es/labman/sparql,51547
https://eu.dbpedia.org/sparql,51547
http://dati.beniculturali.it/sparql,46286
http://es.dbpedia.org/sparql,40743
http://ja.dbpedia.org/sparql,36265
http://ldf.fi/warsa/sparql,33691
https://sparql.geo.admin.ch/sparql,26895
http://dutchshipsandsailors.nl/data/sparql/,21405
http://lod.xdams.org/sparql,14670
http://sparql.data.southampton.ac.uk/,7428
http://www.rechercheisidore.fr/sparql/,6377
https://isidore.science/sparql,6377
http://ldf.fi/kirjasampo/sparql,5967
http://ldf.fi/ww1lod/sparql,5674
http://data.doremus.org/sparql,4717
http://linkeddata.uriburner.com/sparql,1483
http://uriburner.com/sparql,1483
http://data.ox.ac.uk/sparql/,1454
http://environment.data.gov.uk/sparql/bwq/query,1210
http://taxref.mnhn.fr/sparql,996
http://datos.bcn.cl/sparql,830
http://linguistic.linkeddata.es/sparql,779
http://publications.europa.eu/webapi/rdf/sparql,672
http://webenemasuno.linkeddata.es/sparql,649
http://data.plan4all.eu/sparql,440
http://aemet.linkeddata.es/sparql,261
http://resource.geolba.ac.at/PoolParty/sparql/GeologicUnit,130
https://opendata1.opendata.u-psud.fr/sparql,86
https://io.datascience-paris-saclay.fr/sparql,72
http://vocabulary.semantic-web.at/PoolParty/sparql/semweb,54
http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam,40
http://demo.openlinksw.com/sparql,18
http://dati.camera.it/sparql,16
https://datos-abertos.galiciana.gal/pt/sparql,5
http://vocabulary.curriculum.edu.au/PoolParty/sparql/scot,2
http://data.allie.dbcls.jp/sparql,1
http://vocabulary.semantic-web.at/PoolParty/sparql/OpenData,1
https://lov.linkeddata.es/dataset/lov/sparql,1
